branch_id,branch_name,city,country,region,created_at
BR-0072,Chiang Mai Main Branch,Chiang Mai,Thailand,Southeast Asia,2018-06-14 14:32:23
BR-0073,Pune Central Office,Pune,India,South Asia,2018-02-22 06:00:17
BR-0074,Taunggyi Express Point,Taunggyi,Myanmar,Southeast Asia,2022-06-16 14:05:48
BR-0075,Mandalay South,Mandalay,Myanmar,Southeast Asia,2015-10-18 07:06:20
BR-0076,Pathein South,Pathein,Myanmar,Southeast Asia,2021-03-13 15:00:12
BR-0077,Pathein South 2,Pathein,Myanmar,Southeast Asia,2021-04-13 21:13:39
BR-0078,Singapore Business District 2,Singapore,Singapore,Southeast Asia,2018-03-13 17:07:46
BR-0079,Bandung Main Branch 2,Bandung,Indonesia,Southeast Asia,2017-03-17 12:59:16
BR-0080,Delhi Main Branch,Delhi,India,South Asia,2015-01-17 07:24:25
BR-0081,Singapore City Center 2,Singapore,Singapore,Southeast Asia,2022-11-18 19:50:37
BR-0082,Chiang Mai South,Chiang Mai,Thailand,Southeast Asia,2022-12-22 09:05:28
BR-0083,Hyderabad Commercial Zone,Hyderabad,India,South Asia,2017-01-10 12:03:42
BR-0084,Bago South,Bago,Myanmar,Southeast Asia,2015-04-09 01:30:13
BR-0085,Yangon South 2,Yangon,Myanmar,Southeast Asia,2016-01-13 05:38:35
BR-0086,Mandalay Express Point,Mandalay,Myanmar,Southeast Asia,2015-07-27 20:47:47
BR-0087,Penang Central Office,Penang,Malaysia,Southeast Asia,2021-12-29 00:13:19
BR-0088,Manila East,Manila,Philippines,Southeast Asia,2022-07-03 20:15:13
BR-0089,Bago East 2,Bago,Myanmar,Southeast Asia,2016-04-16 01:01:29
BR-0090,Quezon City South,Quezon City,Philippines,Southeast Asia,2021-04-13 17:31:42
BR-0091,Bago Business District,Bago,Myanmar,Southeast Asia,2016-07-04 21:23:46
BR-0092,Kuala Lumpur City Center,Kuala Lumpur,Malaysia,Southeast Asia,2018-02-02 10:23:53
BR-0093,Manila Express Point,Manila,Philippines,Southeast Asia,2020-01-16 21:40:47
BR-0094,Bangkok City Center 2,Bangkok,Thailand,Southeast Asia,2021-01-21 08:02:26
BR-0095,Pathein East,Pathein,Myanmar,Southeast Asia,2022-05-11 12:41:59
BR-0096,Phnom Penh East,Phnom Penh,Cambodia,Southeast Asia,2015-05-18 14:58:16
BR-0097,Myitkyina Financial Hub,Myitkyina,Myanmar,Southeast Asia,2016-08-26 15:26:58
BR-0098,Mandalay South 2,Mandalay,Myanmar,Southeast Asia,2017-05-12 00:04:17
BR-0099,Naypyidaw City Center 2,Naypyidaw,Myanmar,Southeast Asia,2017-08-11 14:59:29
BR-0100,Pokhara Main Branch,Pokhara,Nepal,South Asia,2023-05-25 22:33:03
